epoch,loss,seconds,cuda_memory_mb
0,0.08632354911416769,39.346533599775285,2223.07958984375
1,0.0675400936231017,38.91530100023374,2223.53857421875
2,0.05992366760969162,38.92916319984943,2223.53857421875
3,0.05615233365446329,39.00224960036576,2223.53857421875
4,0.05394754059612751,38.877542099915445,2223.53857421875
5,0.05254262086004019,38.87673689983785,2223.53857421875
6,0.05160876601934433,39.057168199680746,2223.53857421875
7,0.05092929411679506,38.904399999883026,2223.53857421875
8,0.050359329655766484,38.89076629979536,2223.53857421875
9,0.049898658469319346,39.066305099986494,2223.53857421875
10,0.049488306920975444,38.90032480005175,2223.53857421875
11,0.04916096629574895,38.869606300257146,2223.53857421875
12,0.048849618788808585,39.05949479993433,2223.53857421875
13,0.04855337234213948,38.87287479965016,2223.53857421875
14,0.04834114301949739,38.89783729985356,2223.53857421875
15,0.04809757279232144,39.062653800006956,2223.53857421875
16,0.0478733742237091,38.87115149991587,2223.53857421875
17,0.047670399006456136,38.881064999848604,2223.53857421875
18,0.0474985939823091,39.06580309988931,2223.53857421875
19,0.04730738861486316,38.88038490014151,2223.53857421875
